id,sku,short_description,price,list_price,avg_rating,discount,discount_rate,order_count,is_visible,brand,name,image
187770519,1046566289097,. Máy Tính Siêu Nhỏ Ultra Mini Morefine ZX01 Plus Intel thế hệ 12 Alder Lake N100 Xuất Hình 4K 60hz. CPU Intel thế hệ 12 Alder Lake N100 tiến trình 7nm . Tốc độ Turbo Up To 3.4Ghz cho hiệu năng vượt ...,4030000,4030000,5.0,0,0,,,,Máy Tính Siêu Nhỏ Ultra Mini Morefine ZX01 Plus - Intel thế hệ 12 Alder Lake N100 - Hỗ Trợ Xuất Hình 4K 60hz,https://salt.tikicdn.com/cache/280x280/ts/product/f5/7e/44/eeafe359a2c90e4939aa55f02e5e3dab.jpg
481625,8506950212521,"Máy In Đa Chức Năng Canon MF 3010 AEMáy In Đa Chức Năng Canon MF 3010 AE - Máy in đa năng thường có trọng lượng và kích thước rất lớn, tuy nhiên với Máy In Đa Chức Năng Canon MF 3010 AE thì không. T...",4910000,5790000,4.7,880000,15,,,,Máy In Đa Năng Canon MF3010 Scan Copy - Hàng chính hãng,https://salt.tikicdn.com/cache/280x280/ts/product/28/d1/2c/5b9a1c0e567aeafc54a50376ffde3897.jpg
275961342,8738807587844,"Hàng chất lượng cao, HỘP MỰC HP 78A , CANON 326/328 DÙNG CHUNGHộp mực HP 78A , C 326/328 ,  -Có Lỗ Đổ Mực – Chất lượng cao – Mới 100% - Nguyên hộp- Bảo hành 1 đổi 1 trong 1 THÁNG HOẶC ĐẾN KHI HẾT MỰ...",126800,126800,0.0,0,0,,,,Hộp mực 78A dành cho Canon 6230dn 6230dw 6200d - HP P1560/1536/P1566/1600/P1606DN Mực in Canon MF4410/4430/4580DN/MF4570dn/4550d/4452/4450/4450d/MF4420n /4412/ự D520  Có lổ đổ mực-Hàng chính hãng Alpha Cartridge,https://salt.tikicdn.com/cache/280x280/ts/product/ef/14/b8/003016443b85a7613976d35f260ecbc7.jpg
276181938,4476418092052,=================================✪ Sản phẩm chính hãng Team Group✪ Thiết kế nắp rời và tông chủ màu đen hợp thời trang✪ Thiết bị lưu trữ USB 3.2 lý tưởng (USB 3.2 GEN 1 tương đương USB 3.0)✪ ...,99000,169000,4.8,70000,41,,,,USB 3.2 Team Group C175 32GB - Hàng chính hãng,https://salt.tikicdn.com/cache/280x280/ts/product/6a/a8/ab/a2569349f58751fb796f85c864e928a1.jpg
145224778,3202955950050,PIXMA TS207Máy In Nhỏ Gọn Và Thời Trang Với Hộp Mực Chi Phí ThấpPIXMA TS207 kết hợp giữa bề mặt chống bám vân tay và chống xước với tính năng hoàn hảo như ngoại hình của máy.InTốc độ in (A4) tiê...,1070000,1150000,4.5,80000,7,,,,Máy in phun màu Canon Ts207- hàng chính hãng,https://salt.tikicdn.com/cache/280x280/ts/product/68/4b/4d/62d5a6eceb33d0482d600c79561248b7.png
53080935,1084495096501,"CLICK ĐỂ MUA KEY ĐIỆN TỬ - NHẬN HÀNG KHÔNG CẦN CHỜKhám Phá Microsoft 365 Personal – Giải Pháp Phần Mềm Văn Phòng Hoàn HảoMicrosoft 365 Personal là gói phần mềm văn phòng toàn diện của Microsoft, thi...",1450000,2090000,5.0,640000,31,,,,"Phần mềm Microsoft Office 365 Personal  | 12 tháng | Dành cho 1 người | 5 thiết bị/tài khoản | Word, Excel, PowerPoint | 1TB OneDrive",https://salt.tikicdn.com/cache/280x280/ts/product/96/17/60/9ac0d2d65ad38f4a57bda0090118c425.jpg
6909331,4417398345419, TP-Link RE200 - Bộ Mở Rộng Sóng Gắn Tường Không Dây Băng Tần Kép AC750TP-Link RE200 - Bộ Mở Rộng Sóng Gắn Tường Không Dây Băng Tần Kép AC750 sử dụng con chip xử lý Mediatek cho khả năng ổn định kết n...,370000,448500,4.8,78500,18,,,,Bộ Kích Sóng Wifi Repeater Băng Tần Kép AC750 TP-Link RE200 - Hàng Chính Hãng,https://salt.tikicdn.com/cache/280x280/media/catalog/product/r/e/re200_1.u425.d20160421.t110054.jpg
276174461,5382387582134,"Máy in HP Laser 108w (4ZB80A) là thiết bị hỗ trợ in ấn vượt trội trong các dòng máy in laser trắng đen. Máy có hiệu suất in ấn cao, đáng tin cậy phù hợp với mọi văn phòng khác nhau. HP Laser 108w được...",3370000,3690000,5.0,320000,9,,,,Máy In HP Laser 108W (4ZB80A) - Hàng Chính Hãng,https://salt.tikicdn.com/cache/280x280/ts/product/77/9c/71/ee192db233e0f296307db7a2e7377c76.jpg
3831591,5782854631979,"HDD BOX ORICO 2577S3Hộp ổ cứng 2.5"" SSD/HDD SATA 3 USB 3.0 - Dùng cho cả SSD và HDD loại 2.5"". Hỗ trợ ổ cứng 2.5"" 2TB. - USB 3.0, tốc độ truyền dữ liệu 5Gbps. Hỗ trợ UASP: tăng tốc đồ truyền dữ liệ...",130000,130000,4.5,0,0,,,,"Hộp đựng ổ cứng 2.5"" SSD/HDD Orico 2577U3 chuẩn sata 3 cổng USB 3.0 - Hàng Chính Hãng",https://salt.tikicdn.com/cache/280x280/ts/product/45/7b/9a/60fc64357090a7be772a59794717d13d.jpg
806672,6101576467779,"   USB Team Taiwan C171 16GB (Đen) có thiết kế nhỏ gọn tinh tế, màu sắc ấn tượng, là phụ kiện quen thuộc và không thể thiếu trong công việc hằng ngày của bạn.   Tích hợp nhiều tính năng độc đáo như ...",77000,120000,4.8,43000,36,,,,USB Team Taiwan C171 16GB - Hàng Chính Hãng,https://salt.tikicdn.com/cache/280x280/media/catalog/product/c/1/c171_16gb_den_a_1024x1024.u5488.d20170815.t105838.623261.jpg
476059,6104067990619," USB Team E902 16GB mang đến cho bạn dùng lượng rộng rãi 16GB để bạn có thể lưu tất cả các dữ liệu cần thiết cho công việc của mình. Ngoài ra, chuẩn  USB 2.0 cùng tính năng plug - play giúp bạn thuận...",84000,120000,4.2,36000,30,,,,USB Team E902 16GB - Hàng Chính Hãng,https://salt.tikicdn.com/cache/280x280/media/catalog/product/u/s/usb-2-0-team-group-inc-e902-16gb-xanh-nhat-1215-6622111-2-zoom.jpg
3054369,5116522285995,"Phần Mềm Diệt Virus BKAV Profressional sử dụng Trí tuệ nhân tạo (AI) tổng hợp các dữ liệu được ghi nhận, phân tích và chỉ ra các mối nguy hiểm người sử dụng có thể gặp phải như bị xóa dữ liệu, bị the...",234000,234000,5.0,0,0,,,,Phần Mềm Diệt Virus BKAV Profressional 1 PC 12 Tháng - Hàng Chính Hãng,https://salt.tikicdn.com/cache/280x280/ts/product/92/08/90/82a1872301ff651ff373d9bc7f526c99.jpg
275191713,8937804023560,"Hộp mực 337 dành cho máy in Canon MF211, MF221D, MF215, MF241D LBP151dw/ Image CLASS MF 237W/ 247DW/ 211D/ MF212W/ MF221D/ MF241D/ MF215/ MF217W/ MF226DN/ MF229DW/ MF 236N/ MF244DW/ Hàng chính hãng Al...",126800,126800,4.0,0,0,,,,"Hộp mực 337 dành cho máy in Canon MF211, MF221D,  MF215, MF241D LBP151dw/ Image CLASS MF 237W/ 247DW/ 211D/ MF212W/ MF221D/ MF241D/ MF215/ MF217W/ MF226DN/ MF229DW/ MF 236N/ MF244DW/ Hàng chính hãng Alpha Cartridge",https://salt.tikicdn.com/cache/280x280/ts/product/54/3c/37/a16b4289cb383d0b855d08f76c457009.jpg
275195651,7855214860204,. Máy Tính Siêu Nhỏ Ultra Mini Intel thế hệ 12 Alder Lake N100 - Hỗ Trợ Xuất Hình 4K 60hz. CPU Intel thế hệ 12 Alder Lake N100 tiến trình 7nm . Tốc độ Turbo Up To 3.4Ghz cho hiệu năng vượt trội. Ram...,4195000,4195000,5.0,0,0,,,,Máy Tính Siêu Nhỏ Ultra Mini T9 PLUS - Intel thế hệ 12 Alder Lake N100 - Hỗ Trợ Xuất Hình 4K 60hz hàng nhập khẩu,https://salt.tikicdn.com/cache/280x280/ts/product/8f/50/e5/3225e05e49bdbad66e2a6018437cbcce.jpg
276762388,2061105684337,Sản phẩm chính hãng Unitek.Hạt mạng Unitek RJ45 được sản xuất bằng công nghệ tiên tiến nhất của Mỹ nên đáp ứng được các tiêu chuẩn khắt khe nhất của việc truyền dẫn tín hiệu.Được làm từ nhựa nguyên c...,185000,185000,0.0,0,0,,,,Hạt đầu bấm mạng UTP RJ45 Cat6 Unitek (100c) - Hàng chính hãng,https://salt.tikicdn.com/cache/280x280/ts/product/e0/eb/33/f0ed10a2790c816a7676e88ca57d7ea0.jpg
99998451,2228735644002," VESA DisplayHDR 400HDR rõ ràng và tươi sángMàn hình này hỗ trợ VESA DisplayHDR 400 với độ sáng và độ tương phản rộng, tạo nên hình ảnh chân thực cho những game HDR, phim và ảnh mới nhất.  ...",5190000,8090000,5.0,2900000,36,,,,Màn hình máy tính LG UHD 4K 27'' IPS VESA DisplayHDR 400 27UP600K-W - Hàng chính hãng,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/6e/3c/a8/4cca621676647518f888704c95190102.png
275797120,5775244175359,"Dây cáp dùng cho kết nối mạng LAN / Internet từ Modem internet, Switch đến cục phát wifi hoặc tới PC, Laptop theo chuẩn kết nối mạng với 2 đầu RJ45Dây cáp đã được bấm sẵn 2 đầu bấm mạng RJ45 cắm vào ...",100000,100000,5.0,0,0,,,,Dây cáp mạng LAN đúc sẵn 2 đầu Cat6E UTP Arigato - Hàng chính hãng,https://salt.tikicdn.com/cache/280x280/ts/product/8c/f7/78/b72ff0c4a8cbc935fe537b309b4ff4d4.jpg
3054369,5116522285995,"Phần Mềm Diệt Virus BKAV Profressional sử dụng Trí tuệ nhân tạo (AI) tổng hợp các dữ liệu được ghi nhận, phân tích và chỉ ra các mối nguy hiểm người sử dụng có thể gặp phải như bị xóa dữ liệu, bị the...",234000,234000,5.0,0,0,,,,Phần Mềm Diệt Virus BKAV Profressional 1 PC 12 Tháng - Hàng Chính Hãng,https://salt.tikicdn.com/cache/280x280/ts/product/92/08/90/82a1872301ff651ff373d9bc7f526c99.jpg
276632232,3100045895465,"Dây cáp dùng cho kết nối mạng LAN / Internet từ Modem internet, Switch đến cục phát wifi hoặc tới PC, Laptop theo chuẩn kết nối mạng với 2 đầu RJ45Dây cáp đã được bấm sẵn 2 đầu bấm mạng RJ45 cắm vào ...",60000,60000,5.0,0,0,,,,Dây cáp mạng LAN đúc sẵn 2 đầu Cat6 UTP Unitek - Hàng chính hãng,https://salt.tikicdn.com/cache/280x280/ts/product/07/18/e4/3f3421d4fea4c3ee2d6cacac3b036d4b.jpg
